,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
124,Trinidad and Tobago,105, ,105, ,1,96, ,75,6,833,595
125,Rwanda,105, ,105, ,4,101, ,8, , , 
126,Djibouti,90, ,90, ,9,81, ,91, , , 
127,Madagascar,82, ,82, ,2,80,6,3, , , 
128,El Salvador,78,+9,78, ,5,69,4,12,0.6, , 
129,Liechtenstein,77, ,77, ,55,21, ,"2,020",26,900,"23,605"
130,Monaco,77, ,77, ,4,72,4,"1,962",25, , 
131,Guatemala,74,+4,74, ,17,54,3,4,0.2,"1,134",63
132,French Guiana,72, ,72, ,34,38,1,241, , , 
133,Aruba,71, ,71, ,2,69, ,665, ,910,"8,523"
134,Barbados,60, ,60, ,6,52,4,209,7,557,"1,938"
135,Jamaica,59, ,59, ,8,48, ,20,1,540,182
136,Togo,58, ,58, ,23,32, ,7,0.4,"1,467",177
137,Uganda,52, ,52, , ,52, ,1, ,"3,160",69
138,Mali,47, ,47, ,9,33, ,2,0.2, , 
139,Congo,45, ,45, ,2,38, ,8,0.9, , 
140,Ethiopia,44, ,44, ,4,38,1,0.4,0.02,"1,843",16
141,Macao,44, ,44, ,10,34,1,68, , , 
142,French Polynesia,42, ,42, , ,42, ,150, ,618,"2,200"
143,Bermuda,39, ,39, ,17,20, ,626,32,298,"4,785"
144,Cayman Islands,39, ,39, ,1,37, ,593,15,365,"5,554"
145,Zambia,39, ,39, ,5,33, ,2,0.05,619,34
146,Sint Maarten,37, ,37, ,1,30, ,863,140,105,"2,449"
147,Bahamas,33, ,33, ,5,23,1,84,13, , 
148,Saint Martin,32, ,32, ,7,23,6,828,52, , 
149,Guyana,31, ,31,+1,8,18,8,39,6,115,146
150,Eritrea,31, ,31, , ,31, ,9, , , 
151,Benin,26, ,26, ,5,20, ,2,0.08, , 
152,Gabon,24, ,24, ,1,22, ,11,0.4, , 
153,Haiti,24, ,24, , ,23, ,2,0.09,247,22
154,Tanzania,24, ,24, ,3,20, ,0.4,0.02, , 
155,Myanmar,22, ,22, , ,21, ,0.4,0.02,"1,246",23
156,Syria,19, ,19, ,2,15, ,1,0.1, , 
157,Libya,19, ,19, ,1,17, ,3,0.1,312,45
158,Maldives,19, ,19, ,13,6, ,35, , , 
159,Guinea-Bissau,18, ,18, , ,18, ,9, , , 
160,New Caledonia,18, ,18, ,1,17, ,63, ,"2,135","7,478"
161,Angola,16, ,16, ,2,12, ,0.5,0.06, , 
162,Equatorial Guinea,16, ,16, ,3,13, ,11, ,854,609
163,Namibia,16, ,16, ,3,13, ,6, ,362,142
164,Antigua and Barbuda,15, ,15, , ,15,1,153, ,40,408
165,Dominica,15, ,15, ,1,14, ,208, ,293,"4,070"
