,Countries,TotalTest,Positive,UpdateDate,TestPerMillion,PositivePerThousand
0,Argentina,"2,448",502,26 Mar,54,205
1,Armenia,"1,580",265,25 Mar,535,168
2,Australia,"180,047","2,806",26 Mar,"7,018",16
3,Austria,"35,995","6,388",26 Mar,"4,043",177
4,Bahrain,"25,169",211,23 Mar,"16,037",8.4
5,Belarus,"23,000",86,25 Mar,"2,423",3.7
6,Belgium,"18,360","1,486",18 Mar,"1,594",81
7,Bolivia,191,15,19 Mar,17,79
8,Bosnia and Herzegovina,"1,229",188,26 Mar,356,153
9,Brazil,"45,708",428,18 Mar,218,9.4
10,Canada,"158,598","4,043",25 Mar,"4,185",25
11,Chile,"7,542",922,24 Mar,395,122
12,Guangdong,"320,000",,20 Feb,"2,820",1.4
13,Guangdong,"320,000",,20 Feb,"2,820",1.4
14,Colombia,"8,456",470,26 Mar,175,56
15,Costa Rica,"1,885",201,25 Mar,377,107
16,Croatia,"3,159",382,24 Mar,775,121
17,Czechia,"26,698","1,775",26 Mar,"2,507",66
18,Denmark,"19,331","2,023",26 Mar,"3,260",105
19,Ecuador,"4,836","1,382",26 Mar,283,286
20,Estonia,"7,090",538,26 Mar,"5,337",76
21,Finland,"10,000",626,22 Mar,"1,808",63
22,France,"101,046","20,068",24 Mar,"1,508",199
23,Grenada,18,0,19 Mar,162,0
24,Hungary,"6,817",226,25 Mar,698,33
25,Iceland,"10,658",648,24 Mar,"29,259",61
26,India,"25,144",581,25 Mar,19,23
27,Indonesia,"3,925",893,26 Mar,14.7,228
28,Iran,"80,000","21,638",22 Mar,962,270
29,Ireland,"17,992","1,329",24 Mar,"3,778",75
30,Israel,"37,586","2,463",25 Mar,"4,097",66
31,Italy,"361,060","80,539",26 Mar,"5,986",223
32,Japan,"24,430","1,128",24 Mar,194,46
33,Kazakhstan,"5,093",,13 Mar,276,
34,Latvia,"10,613",244,26 Mar,"5,528",23
35,Lithuania,"4,320",290,26 Mar,"1,546",67
36,Malaysia,"20,861","1,796",25 Mar,637,86
37,Malta,"3,391",110,24 Mar,"6,871",32
38,Mexico,"2,232",367,24 Mar,18,164
39,Nepal,687,3,25 Mar,24,4.4
40,Netherlands,"6,000",,7 Mar,344,
41,New Zealand,"12,683",262,26 Mar,"2,551",21
42,Norway,"73,089","2,566",25 Mar,"13,617",40
43,Pakistan,"6,449",1057,26 Mar,30,164
44,Palestine,"2,519",,16 Mar,499,
45,Panama,"4,248",558,26 Mar,"1,017",131
46,Peru,"8,037",480,26 Mar,245,60
47,Philippines,"2,154",707,26 Mar,21,328
48,Poland,"29,546","1,085",26 Mar,770,37
49,Portugal,"22,257","3,544",26 Mar,"2,166",159
50,Romania,"15,998","1,029",26 Mar,825,64
51,Russia,"192,824",658,25 Mar,"1,314",3.4
52,Serbia,916,316,24 Mar,132,345
53,Singapore,"39,000",558,25 Mar,"6,838",14
54,Slovakia,"4,751",226,26 Mar,872,48
55,Slovenia,"17,294",562,25 Mar,"8,259",32
56,South Africa,"7,425",240,21 Mar,126,32
57,South Korea,"376,961","9,332",27 Mar,"7,290",25
58,Spain,"355,000","24,926",21 Mar,"7,596",70
59,Sweden,"24,500","2,510",25 Mar,"2,859",102
60,Switzerland,"91,400","10,714",26 Mar,"10,665",12
61,Taiwan,"27,532",235,25 Mar,"1,158",8.5
62,Thailand,"15,292",1045,26 Mar,220,68
63,Turkey,"40,290","3,629",26 Mar,485,90
64,Ukraine,"1,124",156,26 Mar,27,139
65,United Arab Emirates,"125,000",140,16 Mar,"13,022",1.1
66,United Kingdom,"97,019","9,529",25 Mar,"1,436",98
67,United States,"579,589","80,735",26 Mar,"1,766",139
68,Uruguay,"1,538",189,24 Mar,443,123
69,Vietnam,"31,811",153,26 Mar,328,4.8
