,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,World,"1,414,228","+68,224","81,232","+6,578","301,177","1,031,819","47,916",181,10.4, , 
1,USA,"388,421","+21,417","12,393 ","+1,522","21,321","354,707","9,165","1,173",37,"2,013,198","6,082"
2,Spain,"140,511","+3,836","13,897 ",+556,"43,208","83,406","7,069","3,005",297,"355,000","7,593"
3,Italy,"135,586","+3,039","17,127 ",+604,"24,392","94,067","3,792","2,243",283,"755,445","12,495"
4,France,"109,069","+11,059","10,328 ","+1,417","19,337","79,404","7,131","1,671",158,"224,254","3,436"
5,Germany,"107,458","+4,083","1,983 ",+173,"36,081","69,394","4,895","1,283",24,"918,460","10,962"
6,Iran,"62,589","+2,089","3,872 ",+133,"27,039","31,678","3,987",745,46,"211,136","2,514"
7,UK,"55,242","+3,634","6,159 ",+786,135,"48,948","1,559",814,91,"266,694","3,929"
8,Turkey,"34,109","+3,892",725 ,+76,"1,582","31,802","1,474",404,9,"222,868","2,643"
9,Switzerland,"22,253",+596,821 ,+56,"8,704","12,728",391,"2,571",95,"167,429","19,346"
10,Belgium,"22,194","+1,380","2,035 ",+403,"4,157","16,002","1,260","1,915",176,"80,512","6,947"
11,Netherlands,"19,580",+777,"2,101 ",+234,250,"17,229","1,424","1,143",123,"86,589","5,053"
12,Canada,"17,840","+1,173",375 ,+52,"3,935","13,530",426,473,10,"346,507","9,181"
13,Brazil,"12,632",+449,588 ,+24,127,"11,917",296,59,3,"54,824",258
14,Austria,"12,616",+319,243 ,+23,"4,046","8,327",243,"1,401",27,"115,235","12,795"
15,Portugal,"12,442",+712,345 ,+34,184,"11,913",271,"1,220",34,"121,256","11,892"
16,S. Korea,"10,331",+47,192 ,+6,"6,694","3,445",55,202,4,"477,304","9,310"
17,Israel,"9,248",+344,65 ,+8,770,"8,413",149,"1,068",8,"117,339","13,557"
18,Sweden,"7,693",+487,591 ,+114,205,"6,897",640,762,59,"54,700","5,416"
19,Russia,"7,497","+1,154",58 ,+11,494,"6,945",8,51,0.4,"795,000","5,448"
20,Australia,"5,919",+24,48 ,+3,"2,547","3,324",93,232,2,"310,700","12,184"
21,Norway,"5,903",+38,89 ,+13,32,"5,782",78,"1,089",16,"113,896","21,009"
22,Ireland,"5,709",+345,210 ,+36,25,"5,474",165,"1,156",43,"42,484","8,604"
23,India,"5,311",+533,150 ,+14,421,"4,740", ,4,0.1,"140,293",102
24,Chile,"5,116",+301,43 ,+6,898,"4,175",337,268,2,"57,122","2,988"
25,Denmark,"5,071",+390,203 ,+16,"1,491","3,377",127,875,35,"58,419","10,086"
26,Czechia,"4,944",+122,88 ,+10,172,"4,684",86,462,8,"91,247","8,521"
27,Poland,"4,848",+435,129 ,+22,191,"4,528",50,128,3,"92,215","2,437"
28,Romania,"4,417",+360,197 ,+21,460,"3,760",274,230,10,"43,578","2,265"
