,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,World,"1,499,690","+68,771","87,826","+5,792","319,212","1,092,652","48,017",192.0,11.3, , 
1,USA,"422,510","+22,175","14,473 ","+1,632","22,187","385,850","9,233",1276.0,44.0,2188285.0,6611.0
2,Spain,"146,690","+4,748","14,673 ",+628,"48,021","83,996","7,069",3137.0,314.0,355000.0,7593.0
3,Italy,"139,422","+3,836","17,669 ",+542,"26,491","95,262","3,693",2306.0,292.0,807125.0,13349.0
4,France,"112,950","+3,881","10,869 ",+541,"21,254","80,827","7,148",1730.0,167.0,224254.0,3436.0
5,Germany,"110,698","+3,035","2,192 ",+176,"36,081","72,425","4,895",1321.0,26.0,918460.0,10962.0
6,Iran,"64,586","+1,997","3,993 ",+121,"29,812","30,781","3,987",769.0,48.0,211136.0,2514.0
7,UK,"60,733","+5,491","7,097 ",+938,135,"53,501","1,559",895.0,105.0,282074.0,4155.0
8,Turkey,"38,226","+4,117",812 ,+87,"1,846","35,568","1,492",453.0,10.0,247768.0,2938.0
9,Belgium,"23,403","+1,209","2,240 ",+205,"4,681","16,482","1,276",2019.0,193.0,84248.0,7269.0
10,Switzerland,"23,248",+995,895 ,+74,"9,800","12,553",391,2686.0,103.0,171938.0,19867.0
11,Netherlands,"20,549",+969,"2,248 ",+147,250,"18,051","1,424",1199.0,131.0,101534.0,5926.0
12,Canada,"19,195","+1,298",427 ,+46,"4,533","14,235",426,509.0,11.0,348105.0,9223.0
13,Brazil,"15,927","+1,893",800 ,+114,127,"15,000",296,75.0,4.0,54824.0,258.0
14,Portugal,"13,141",+699,380 ,+35,196,"12,565",245,1289.0,37.0,128784.0,12630.0
15,Austria,"12,941",+302,273 ,+30,"4,512","8,156",267,1437.0,30.0,120755.0,13408.0
16,S. Korea,"10,384",+53,200 ,+8,"6,776","3,408",55,203.0,4.0,477304.0,9310.0
17,Israel,"9,404",+156,73 ,+8,801,"8,530",147,1086.0,8.0,117339.0,13557.0
18,Russia,"8,672","+1,175",63 ,+5,580,"8,029",8,59.0,0.4,910221.0,6237.0
19,Sweden,"8,419",+726,687 ,+96,205,"7,527",678,834.0,68.0,54700.0,5416.0
20,Norway,"6,086", ,101 ,+12,32,"5,953",78,1123.0,19.0,113896.0,21009.0
21,Ireland,"6,074",+365,235 ,+25,25,"5,814",165,1230.0,48.0,42484.0,8604.0
22,Australia,"6,013",+25,50 ,+1,"2,813","3,150",87,236.0,2.0,319784.0,12541.0
23,India,"5,916",+565,178 ,+18,506,"5,232", ,4.0,0.1,167235.0,121.0
24,Chile,"5,546",+430,48 ,+5,"1,115","4,383",362,290.0,3.0,60391.0,3159.0
25,Denmark,"5,402",+331,218 ,+15,"1,621","3,563",127,933.0,38.0,64002.0,11050.0
