,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,World,"1,418,920","+72,916","81,506","+6,852","301,471","1,035,943","47,925",182,10.5, , 
1,USA,"391,665","+24,661","12,561 ","+1,690","21,561","357,543","9,169","1,183",38,"2,053,822",6205.0
2,Spain,"140,617","+3,942","13,912 ",+571,"43,208","83,497","7,069","3,008",298,"355,000",7593.0
3,Italy,"135,586","+3,039","17,127 ",+604,"24,392","94,067","3,792","2,243",283,"755,445",12495.0
4,France,"109,069","+11,059","10,328 ","+1,417","19,337","79,404","7,131","1,671",158,"224,254",3436.0
5,Germany,"107,458","+4,083","1,983 ",+173,"36,081","69,394","4,895","1,283",24,"918,460",10962.0
6,Iran,"62,589","+2,089","3,872 ",+133,"27,039","31,678","3,987",745,46,"211,136",2514.0
7,UK,"55,242","+3,634","6,159 ",+786,135,"48,948","1,559",814,91,"266,694",3929.0
8,Turkey,"34,109","+3,892",725 ,+76,"1,582","31,802","1,474",404,9,"228,868",2714.0
9,Switzerland,"22,253",+596,821 ,+56,"8,704","12,728",391,"2,571",95,"167,429",19346.0
10,Belgium,"22,194","+1,380","2,035 ",+403,"4,157","16,002","1,260","1,915",176,"80,512",6947.0
11,Netherlands,"19,580",+777,"2,101 ",+234,250,"17,229","1,424","1,143",123,"86,589",5053.0
12,Canada,"17,847","+1,180",375 ,+52,"3,935","13,537",426,473,10,"346,507",9181.0
13,Brazil,"13,717","+1,534",667 ,+103,127,"12,923",296,65,3,"54,824",258.0
14,Austria,"12,635",+338,243 ,+23,"4,046","8,346",243,"1,403",27,"115,235",12795.0
15,Portugal,"12,442",+712,345 ,+34,184,"11,913",271,"1,220",34,"121,256",11892.0
16,S. Korea,"10,331",+47,192 ,+6,"6,694","3,445",55,202,4,"477,304",9310.0
17,Israel,"9,248",+344,65 ,+8,770,"8,413",149,"1,068",8,"117,339",13557.0
18,Sweden,"7,693",+487,591 ,+114,205,"6,897",640,762,59,"54,700",5416.0
19,Russia,"7,497","+1,154",58 ,+11,494,"6,945",8,51,0.4,"795,000",5448.0
20,Australia,"5,919",+24,48 ,+3,"2,547","3,324",93,232,2,"310,700",12184.0
21,Norway,"5,903",+38,89 ,+13,32,"5,782",78,"1,089",16,"113,896",21009.0
22,Ireland,"5,709",+345,210 ,+36,25,"5,474",165,"1,156",43,"42,484",8604.0
23,India,"5,311",+533,150 ,+14,421,"4,740", ,4,0.1,"140,293",102.0
24,Chile,"5,116",+301,43 ,+6,898,"4,175",337,268,2,"57,122",2988.0
25,Denmark,"5,071",+390,203 ,+16,"1,491","3,377",127,875,35,"58,419",10086.0
26,Czechia,"4,944",+122,88 ,+10,172,"4,684",86,462,8,"91,247",8521.0
27,Poland,"4,848",+435,129 ,+22,191,"4,528",50,128,3,"92,215",2437.0
28,Romania,"4,417",+360,197 ,+21,460,"3,760",274,230,10,"43,578",2265.0
29,Pakistan,"4,009",+243,56 ,+3,429,"3,524",28,18,0.3,"39,183",177.0
30,Malaysia,"3,963",+170,63 ,+1,"1,321","2,579",92,122,2,"55,566",1717.0
31,Japan,"3,906", ,92 , ,592,"3,222",79,31,0.7,"55,311",437.0
32,Philippines,"3,764",+104,177 ,+14,84,"3,503",1,34,2,"22,958",210.0
33,Ecuador,"3,747", ,191 , ,100,"3,456",156,212,11,"13,039",739.0
34,Luxembourg,"2,970",+127,44 ,+3,500,"2,426",35,"4,745",70,"25,702",41059.0
35,Peru,"2,954",+393,107 ,+15,"1,301","1,546",109,90,3,"21,555",654.0
36,Saudi Arabia,"2,795",+190,41 ,+3,615,"2,139",41,80,1, , 
37,Indonesia,"2,738",+247,221 ,+12,204,"2,313", ,10,0.8,"14,354",52.0
38,Serbia,"2,447",+247,61 ,+3,118,"2,268",109,280,7,"9,626",1102.0
39,Mexico,"2,439",+296,125 ,+31,633,"1,681",89,19,1.0,"20,475",159.0
40,UAE,"2,359",+283,12 ,+1,186,"2,161",1,239,1,"220,000",22244.0
41,Finland,"2,308",+132,34 ,+7,300,"1,974",81,417,6,"34,900",6299.0
42,Thailand,"2,258",+38,27 ,+1,888,"1,343",61,32,0.4,"71,860",1030.0
43,Panama,"2,100", ,55 , ,14,"2,031",88,487,13,"10,297",2386.0
44,Qatar,"2,057",+225,6 ,+2,150,"1,901",37,714,2,"41,818",14515.0
45,Dominican Republic,"1,956",+128,98 ,+12,36,"1,822",147,180,9,"4,542",419.0
46,Greece,"1,832",+77,81 ,+2,269,"1,482",90,176,8,"28,584",2742.0
47,South Africa,"1,749",+63,13 ,+1,95,"1,641",7,29,0.2,"58,098",980.0
48,Argentina,"1,628", ,56 ,+3,338,"1,234",96,36,1,"11,778",261.0
49,Iceland,"1,586",+24,6 , ,559,"1,021",11,"4,648",18,"28,991",84957.0
50,Colombia,"1,579", ,46 , ,88,"1,445",76,31,0.9,"27,685",544.0
51,Singapore,"1,481",+106,6 , ,377,"1,098",29,253,1,"65,000",11110.0
