,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
97,Jordan,372.0, ,7 , ,170,195,5,36.0,0.7,17000.0,1666.0
98,Malta,350.0,+13,2 , ,16,332,4,793.0,5.0,13732.0,31100.0
99,San Marino,344.0,+11,34 , ,50,260,14,10138.0,1002.0,846.0,24933.0
100,Mauritius,318.0,+4,9 ,+2,23,286,3,250.0,7.0,6730.0,5292.0
101,Nigeria,305.0,+17,7 , ,58,240,2,1.0,0.03,5000.0,24.0
102,Kyrgyzstan,298.0,+18,5 ,+1,35,258,5,46.0,0.8,9618.0,1474.0
103,Bolivia,268.0,+4,19 ,+1,2,247,3,23.0,2.0,591.0,51.0
104,Palestine,267.0,+4,2 ,+1,45,220, ,52.0,0.4,16068.0,3150.0
105,Senegal,265.0,+15,2 , ,137,126,1,16.0,0.1, , 
106,Montenegro,257.0,+5,2 , ,4,251,7,409.0,3.0,2329.0,3708.0
107,Vietnam,257.0,+2, , ,144,113,8,3.0, ,118807.0,1221.0
108,Georgia,234.0,+16,3 , ,54,177,6,59.0,0.8,3271.0,820.0
109,DRC,215.0,+35,20 ,+2,13,182, ,2.0,0.2, , 
110,Guinea,212.0,+18, , ,15,197, ,16.0, , , 
111,Isle of Man,201.0,+11,1 , ,103,97,11,2364.0,12.0,1934.0,22744.0
112,Mayotte,191.0,+7,2 , ,50,139,4,700.0,7.0,1300.0,4765.0
113,Sri Lanka,190.0, ,7 , ,54,129,5,9.0,0.3,3248.0,152.0
114,Kenya,189.0,+5,7 , ,22,160,2,4.0,0.1,5278.0,98.0
115,Faeroe Islands,184.0, , , ,145,39, ,3766.0, ,5408.0,110677.0
116,Venezuela,175.0,+4,9 , ,84,82,6,6.0,0.3,139282.0,4898.0
117,Martinique,155.0,+1,6 , ,50,99,19,413.0,16.0, , 
118,Djibouti,150.0,+10,1 , ,36,113, ,152.0,1.0,3740.0,3785.0
119,Guadeloupe,143.0, ,8 , ,67,68,13,357.0,20.0, , 
120,Brunei ,136.0,+1,1 , ,99,36,3,311.0,2.0,9342.0,21354.0
121,Paraguay,129.0,+5,6 ,+1,18,105,1,18.0,0.8,2262.0,317.0
122,Gibraltar,127.0,+4, , ,69,58,1,3770.0, ,1543.0,45799.0
123,Guatemala,126.0,+31,3 , ,17,106,3,7.0,0.2,1134.0,63.0
124,Cambodia,119.0, , , ,72,47,1,7.0, ,5768.0,345.0
125,Rwanda,118.0,+5, , ,7,111, ,9.0, ,806.0,62.0
126,El Salvador,117.0,+14,6 , ,15,96,4,18.0,0.9, , 
127,Trinidad and Tobago,109.0, ,8 , ,1,100, ,78.0,6.0,1045.0,747.0
128,Madagascar,93.0, , , ,11,82,1,3.0, , , 
129,Monaco,90.0,+6,1 , ,5,84,4,2293.0,25.0, , 
130,Mali,87.0,+13,7 , ,22,58, ,4.0,0.3, , 
131,Aruba,86.0,+4, , ,27,59, ,805.0, ,1058.0,9910.0
132,French Guiana,83.0, , , ,43,40,1,278.0, , , 
133,Liechtenstein,79.0,+1,1 , ,55,23, ,2072.0,26.0,900.0,23605.0
134,Togo,76.0,+3,3 , ,25,48, ,9.0,0.4,2069.0,250.0
135,Barbados,67.0,+1,4 ,+1,11,52,4,233.0,14.0,736.0,2561.0
136,Ethiopia,65.0,+9,3 ,+1,4,58,1,0.6,0.03,3232.0,28.0
137,Jamaica,63.0, ,4 , ,13,46, ,21.0,1.0,907.0,306.0
138,Congo,60.0, ,5 , ,5,50, ,11.0,0.9, , 
139,Uganda,53.0, , , , ,53, ,1.0, ,3310.0,72.0
140,French Polynesia,51.0, , , , ,51, ,182.0, ,744.0,2649.0
141,Sint Maarten,50.0,+7,8 ,+2,3,39,2,1166.0,187.0,134.0,3125.0
142,Bermuda,48.0, ,4 , ,25,19,2,771.0,64.0,354.0,5684.0
143,Cayman Islands,45.0, ,1 , ,6,38, ,685.0,15.0,479.0,7288.0
144,Macao,45.0, , , ,10,35,1,69.0, , , 
145,Gabon,44.0, ,1 , ,1,42, ,20.0,0.4, , 
146,Bahamas,42.0,+1,8 , ,5,29,1,107.0,20.0, , 
147,Zambia,40.0,+1,2 ,+1,25,13,1,2.0,0.1,1239.0,67.0
148,Guyana,37.0, ,6 , ,8,23,4,47.0,8.0,145.0,184.0
149,Liberia,37.0,+6,5 ,+1,3,29, ,7.0,1.0, , 
150,Guinea-Bissau,36.0, , , , ,36, ,18.0, ,1500.0,762.0
151,Benin,35.0,+9,1 , ,5,29, ,3.0,0.08, , 
152,Eritrea,34.0,+1, , , ,34, ,10.0, , , 
153,Tanzania,32.0,+7,3 ,+2,5,24, ,0.5,0.05, , 
154,Saint Martin,32.0, ,2 , ,11,19,5,828.0,52.0, , 
155,Haiti,31.0,+1,2 , , ,29, ,3.0,0.2,365.0,32.0
156,Myanmar,27.0,+4,3 , ,2,22, ,0.5,0.06,1406.0,26.0
157,Libya,24.0, ,1 , ,8,15, ,3.0,0.1,492.0,72.0
158,Antigua and Barbuda,21.0,+2,2 , , ,19,1,214.0,20.0,40.0,408.0
159,Somalia,21.0,+9,1 , ,1,19, ,1.0,0.06, , 
160,Mozambique,20.0,+3, , ,2,18, ,0.6, ,483.0,15.0
161,Angola,19.0, ,2 , ,2,15, ,0.6,0.06, , 
162,Syria,19.0, ,2 , ,4,13, ,1.0,0.1, , 
163,Maldives,19.0, , , ,13,6, ,35.0, , , 
164,Equatorial Guinea,18.0, , , ,3,15, ,13.0, ,854.0,609.0
165,New Caledonia,18.0, , , ,1,17, ,63.0, ,2608.0,9135.0
166,Sudan,17.0,+2,2 , ,2,13, ,0.4,0.05, , 
167,Dominica,16.0,+1, , ,5,11, ,222.0, ,309.0,4293.0
168,Fiji,16.0,+1, , , ,16, ,18.0, , , 
169,Laos,16.0, , , , ,16, ,2.0, ,1035.0,142.0
170,Mongolia,16.0, , , ,4,12, ,5.0, , , 
171,Namibia,16.0, , , ,3,13, ,6.0, ,362.0,142.0
172,Saint Lucia,15.0,+1, , ,1,14, ,82.0, , , 
173,Curaçao,14.0, ,1 , ,7,6, ,85.0,6.0, , 
174,Grenada,14.0,+2, , , ,14,2,124.0, ,92.0,818.0
175,Zimbabwe,13.0,+2,3 , , ,10, ,0.9,0.2,438.0,29.0
176,Botswana,13.0, ,1 , , ,12, ,6.0,0.4,1154.0,491.0
177,Saint Kitts and Nevis,12.0,+1, , , ,12, ,226.0, ,205.0,3853.0
178,St. Vincent Grenadines,12.0, , , ,1,11, ,108.0, ,56.0,505.0
179,Eswatini,12.0, , , ,7,5, ,10.0, , , 
180,Chad,11.0, , , ,2,9, ,0.7, , , 
181,Greenland,11.0, , , ,11,0, ,194.0, ,770.0,13564.0
182,Seychelles,11.0, , , , ,11, ,112.0, , , 
183,Belize,10.0,+1,2 ,+1, ,8,1,25.0,5.0,364.0,915.0
184,Suriname,10.0, ,1 , ,4,5, ,17.0,2.0, , 
185,MS Zaandam,9.0, ,2 , , ,7, , , , , 
186,Malawi,9.0,+1,1 , , ,8,1,0.5,0.05, , 
187,Nepal,9.0, , , ,1,8, ,0.3, ,3524.0,121.0
188,Montserrat,9.0, , , , ,9,1,1803.0, ,36.0,7212.0
189,Turks and Caicos,8.0, ,1 , , ,7, ,207.0,26.0,61.0,1576.0
190,CAR,8.0, , , , ,8, ,2.0, , , 
191,Vatican City,8.0, , , ,2,6, ,9988.0, , , 
192,Sierra Leone,8.0,+1, , , ,8, ,1.0, , , 
193,Cabo Verde,7.0, ,1 , ,1,5, ,13.0,2.0, , 
194,Mauritania,7.0, ,1 , ,2,4, ,2.0,0.2,380.0,82.0
195,Nicaragua,7.0, ,1 , , ,6, ,1.0,0.2, , 
196,St. Barth,6.0, , , ,1,5, ,607.0, , , 
197,Bhutan,5.0, , , ,2,3, ,6.0, ,1166.0,1511.0
198,Falkland Islands,5.0, , , ,1,4, ,1437.0, ,137.0,39368.0
199,Gambia,4.0, ,1 , ,2,1, ,2.0,0.4, , 
200,Sao Tome and Principe,4.0, , , , ,4, ,18.0, ,19.0,87.0
201,South Sudan,4.0,+1, , , ,4, ,0.4, , , 
202,Western Sahara,4.0, , , , ,4, ,7.0, , , 
203,Anguilla,3.0, , , , ,3, ,200.0, , , 
204,British Virgin Islands,3.0, , , , ,3, ,99.0, , , 
205,Burundi,3.0, , , , ,3, ,0.3, , , 
206,Caribbean Netherlands,2.0, , , , ,2, ,76.0, ,10.0,381.0
207,Papua New Guinea,2.0, , , , ,2, ,0.2, ,72.0,8.0
208,Timor-Leste,2.0,+1, , ,1,1, ,2.0, , , 
209,Saint Pierre Miquelon,1.0, , , , ,1, ,173.0, , , 
210,Yemen,1.0,+1, , , ,1, ,0.03, , , 
211,China,81907.0, ,"3,336 ", ,"77,455","1,116",144,57.0,2.0, , 
212,Total:,535845.0,"+35,625","19,774","+2,117","34,377","481,694","11,905", , , , 
213,Total:,820109.0,"+41,257","70,094","+4,276","196,782","553,233","30,232", , , , 
214,Total:,274566.0,"+10,627","10,224",+327,"133,960","130,382","6,575", , , , 
215,Total:,44976.0,"+5,371","1,809",+194,"4,619","38,548",876, , , , 
216,Total:,7608.0,+131,56,+4,"3,515","4,037",79, , , , 
217,Total:,13531.0,+651,697,+65,"2,234","10,600",153, , , , 
218,Total:,721.0, ,13, ,619,89,10, , , , 
219,Total:,1697356.0,"+93,662","102,667","+6,983","376,106","1,218,583","49,830",217.8,13.2, , 
