,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,USA,531257.0,"+28,381","20,555 ","+1,808","29,818","480,884","11,320",1605.0,62.0,2671008.0,8069.0
1,Spain,163027.0,"+4,754","16,606 ",+525,"59,109","87,312","7,371",3487.0,355.0,355000.0,7593.0
2,Italy,152271.0,"+4,694","19,468 ",+619,"32,534","100,269","3,381",2518.0,322.0,963473.0,15935.0
3,France,129654.0,"+4,785","13,832 ",+635,"26,391","89,431","6,883",1986.0,212.0,333807.0,5114.0
4,Germany,125452.0,"+3,281","2,871 ",+135,"57,400","65,181","4,895",1497.0,34.0,1317887.0,15730.0
5,UK,78991.0,"+5,233","9,875 ",+917,344,"68,772","1,559",1164.0,145.0,334974.0,4934.0
6,Iran,70029.0,"+1,837","4,357 ",+125,"41,947","23,725","3,987",834.0,52.0,251703.0,2997.0
7,Turkey,52167.0,"+5,138","1,101 ",+95,"2,965","48,101","1,626",619.0,13.0,340380.0,4036.0
8,Belgium,28018.0,"+1,351","3,346 ",+327,"5,986","18,686","1,262",2418.0,289.0,102151.0,8814.0
9,Switzerland,25107.0,+556,"1,036 ",+34,"12,100","11,971",386,2901.0,120.0,190000.0,21954.0
10,Netherlands,24413.0,"+1,316","2,643 ",+132,250,"21,520","1,384",1425.0,154.0,101534.0,5926.0
11,Canada,23318.0,"+1,170",653 ,+84,"6,428","16,237",557,618.0,17.0,401552.0,10639.0
12,Brazil,20962.0,"+1,173","1,140 ",+72,173,"19,649",296,99.0,5.0,62985.0,296.0
13,Portugal,15987.0,+515,470 ,+35,266,"15,251",233,1568.0,46.0,162798.0,15966.0
14,Austria,13806.0,+246,337 ,+18,"6,604","6,865",246,1533.0,37.0,140975.0,15653.0
15,Russia,13584.0,"+1,667",106 ,+12,"1,045","12,433",8,93.0,0.7,1184442.0,8116.0
16,Israel,10743.0,+335,101 ,+6,"1,341","9,301",175,1241.0,12.0,117339.0,13557.0
17,S. Korea,10480.0,+30,211 ,+3,"7,243","3,026",55,204.0,4.0,510479.0,9957.0
18,Sweden,10151.0,+466,887 ,+17,381,"8,883",774,1005.0,88.0,54700.0,5416.0
19,Ireland,8928.0,+839,320 ,+33,25,"8,583",194,1808.0,65.0,53000.0,10734.0
20,India,8446.0,+846,288 ,+39,969,"7,189", ,6.0,0.2,189111.0,137.0
