,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
40,UAE,2359,+283,12 ,+1,186,2161,1,239.0,1.0,220000,22244.0
41,Finland,2308,+132,34 ,+7,300,1974,81,417.0,6.0,34900,6299.0
42,Thailand,2258,+38,27 ,+1,888,1343,61,32.0,0.4,71860,1030.0
43,Panama,2100, ,55 , ,14,2031,88,487.0,13.0,10297,2386.0
44,Qatar,2057,+225,6 ,+2,150,1901,37,714.0,2.0,41818,14515.0
45,Dominican Republic,1956,+128,98 ,+12,36,1822,147,180.0,9.0,4542,419.0
46,Greece,1832,+77,81 ,+2,269,1482,90,176.0,8.0,28584,2742.0
47,Colombia,1780,+201,50 ,+4,100,1630,76,35.0,1.0,30445,598.0
48,South Africa,1749,+63,13 ,+1,95,1641,7,29.0,0.2,58098,980.0
49,Argentina,1628, ,56 ,+3,338,1234,96,36.0,1.0,11778,261.0
50,Iceland,1586,+24,6 , ,559,1021,11,4648.0,18.0,28991,84957.0
51,Singapore,1481,+106,6 , ,377,1098,29,253.0,1.0,65000,11110.0
52,Algeria,1468,+45,193 ,+20,113,1162,46,33.0,4.0,3359,77.0
53,Ukraine,1462,+143,45 ,+7,28,1389,16,33.0,1.0,6385,146.0
54,Egypt,1450,+128,94 ,+9,276,1080, ,14.0,0.9,25000,244.0
55,Croatia,1282,+60,18 ,+2,167,1097,35,312.0,4.0,12322,3002.0
56,Morocco,1184,+64,90 ,+10,93,1001,1,32.0,2.0,5437,147.0
57,New Zealand,1160,+54,1 , ,241,918,4,241.0,0.2,42826,8881.0
58,Estonia,1149,+41,21 ,+2,69,1059,12,866.0,16.0,23546,17750.0
59,Iraq,1122,+91,65 ,+1,373,684, ,28.0,2.0,26331,655.0
60,Slovenia,1059,+38,36 ,+6,102,921,30,509.0,17.0,29455,14168.0
61,Moldova,1056,+91,22 ,+3,40,994,80,262.0,5.0,5108,1266.0
62,Hong Kong,936,+21,4 , ,236,696,12,125.0,0.5,96709,12900.0
63,Lithuania,880,+37,15 , ,8,857,11,323.0,6.0,27807,10215.0
64,Belarus,861,+161,13 , ,54,794,31,91.0,1.0,43000,4551.0
65,Armenia,853,+20,8 , ,87,758,30,288.0,3.0,5140,1735.0
66,Hungary,817,+73,47 ,+9,71,699,17,85.0,5.0,23746,2458.0
67,Bahrain,811,+55,5 ,+1,458,348,4,477.0,3.0,47684,28023.0
68,Bosnia and Herzegovina,764,+90,33 ,+4,68,663,4,233.0,10.0,6911,2106.0
69,Kuwait,743,+78,1 , ,105,637,23,174.0,0.2, , 
70,Azerbaijan,717,+76,8 ,+1,44,665,23,71.0,0.8,53300,5257.0
71,Diamond Princess,712, ,11 , ,619,82,10, , , , 
72,Kazakhstan,697,+35,6 , ,51,640,16,37.0,0.3,54767,2917.0
73,Cameroon,685,+27,9 , ,60,616, ,26.0,0.3, , 
74,Tunisia,623,+27,23 ,+1,25,575,39,53.0,2.0,8274,700.0
75,North Macedonia,599,+29,26 ,+3,30,543,15,288.0,12.0,5879,2822.0
76,Slovakia,581,+47,2 , ,13,566,3,106.0,0.4,17639,3231.0
77,Bulgaria,577,+28,23 ,+1,42,512,21,83.0,3.0,15899,2288.0
78,Lebanon,548,+7,19 , ,62,467,29,80.0,3.0,10221,1497.0
79,Latvia,548,+6,2 ,+1,16,530,5,291.0,1.0,22575,11969.0
80,Andorra,545,+20,22 ,+1,39,484,17,7054.0,285.0,1673,21653.0
81,Uzbekistan,520,+63,2 , ,30,488,8,16.0,0.06, , 
82,Cyprus,494,+29,9 , ,47,438,13,409.0,7.0,13017,10781.0
83,Costa Rica,483,+16,2 , ,24,457,14,95.0,0.4,5525,1085.0
84,Uruguay,424,+9,7 ,+1,150,267,14,122.0,2.0,5727,1649.0
85,Afghanistan,423,+56,14 ,+3,18,391, ,11.0,0.4, , 
86,Cuba,396,+46,11 ,+2,27,358,15,35.0,1.0,7054,623.0
87,Burkina Faso,384,+20,19 ,+1,127,238, ,18.0,0.9, , 
88,Albania,383,+6,22 ,+1,131,230,7,133.0,8.0,2753,957.0
89,Taiwan,376,+3,5 , ,61,310, ,16.0,0.2,40702,1709.0
90,Oman,371,+40,2 , ,67,302,3,73.0,0.4, , 
91,Réunion,358,+9, , ,40,318,4,400.0, , , 
92,Jordan,353,+4,6 , ,138,209,5,35.0,0.6,17000,1666.0
93,Ivory Coast,349,+26,3 , ,41,305, ,13.0,0.1, , 
94,Channel Islands,335,+12,7 , ,34,294, ,1927.0,40.0,1157,6655.0
95,Honduras,305,+7,22 , ,6,277,10,31.0,2.0, , 
96,Malta,293,+52, , ,5,288,4,664.0, ,10923,24738.0
97,Ghana,287,+73,5 , ,31,251,2,9.0,0.2, , 
98,San Marino,279,+2,34 ,+2,40,205,14,8223.0,1002.0,586,17270.0
99,Niger,278,+25,11 ,+1,26,241, ,11.0,0.5,4199,173.0
100,Mauritius,268,+24,7 , ,8,253,3,211.0,6.0,4913,3863.0
101,Palestine,261,+7,1 , ,42,218, ,51.0,0.2,15140,2968.0
102,Nigeria,254,+16,6 ,+1,44,204,2,1.0,0.03,5000,24.0
103,Vietnam,249,+4, , ,123,126,8,3.0, ,106399,1093.0
104,Montenegro,241,+8,2 , ,4,235,7,384.0,3.0,2014,3207.0
105,Senegal,237,+11,2 , ,105,130,1,14.0,0.1, , 
106,Kyrgyzstan,228,+12,4 , ,33,191,5,35.0,0.6,9618,1474.0
107,Georgia,196,+8,3 ,+1,46,147,6,49.0,0.8,2762,692.0
108,Bolivia,194,+11,14 ,+3,2,178,3,17.0,1.0,591,51.0
109,Sri Lanka,185,+7,6 ,+1,42,137,5,9.0,0.3,3248,152.0
110,Faeroe Islands,184,+1, , ,120,64,2,3766.0, ,5035,103043.0
111,DRC,180,+19,18 , ,9,153, ,2.0,0.2, , 
112,Kenya,172,+14,6 , ,7,159,2,3.0,0.1,4973,92.0
113,Mayotte,171,+7,2 , ,22,147,3,627.0,7.0,1100,4032.0
114,Venezuela,166,+1,7 , ,65,94,6,6.0,0.2,1779,63.0
115,Bangladesh,164,+41,17 ,+5,33,114,1,1.0,0.1,4289,26.0
116,Martinique,152,+1,4 , ,50,98,20,405.0,11.0, , 
117,Isle of Man,150,+11,1  , ,73,76,6,1764.0,12.0,1669,19628.0
118,Guinea,144,+16, , ,5,139, ,11.0, , , 
119,Guadeloupe,139, ,7 , ,31,101,14,347.0,17.0, , 
120,Brunei ,135, ,1 , ,85,49,3,309.0,2.0,8845,20218.0
121,Paraguay,115,+2,5 , ,15,95,1,16.0,0.7,2039,286.0
122,Cambodia,115,+1, , ,58,57,1,7.0, ,5768,345.0
123,Gibraltar,113,+4, , ,60,53, ,3354.0, ,1440,42741.0
124,Trinidad and Tobago,107,+2,8 , ,1,98, ,76.0,6.0,878,627.0
125,Rwanda,105, , , ,7,98, ,8.0, ,806,62.0
126,Djibouti,90, , , ,9,81, ,91.0, ,2229,2256.0
127,Madagascar,88,+6, , ,7,81,6,3.0, , , 
128,Monaco,79,+2,1 , ,4,74,4,2013.0,25.0, , 
129,El Salvador,78,+9,4 , ,5,69,4,12.0,0.6, , 
130,Liechtenstein,78,+1,1 , ,55,22, ,2046.0,26.0,900,23605.0
131,Guatemala,77,+7,3 , ,17,57,3,4.0,0.2,1134,63.0
132,French Guiana,77,+5, , ,34,43,1,258.0, , , 
133,Aruba,74,+3, , ,14,60, ,693.0, ,954,8935.0
134,Togo,65,+7,3 , ,23,39, ,8.0,0.4,1617,195.0
135,Barbados,63,+3,3 ,+1,6,54,4,219.0,10.0,557,1938.0
136,Jamaica,63,+4,3 , ,9,51, ,21.0,1.0,540,182.0
137,Mali,56,+9,5 , ,12,39, ,3.0,0.2, , 
138,Ethiopia,52,+8,2 , ,4,46,1,0.5,0.02,2271,20.0
139,Uganda,52, , , , ,52, ,1.0, ,3310,72.0
140,French Polynesia,47,+5, , , ,47, ,167.0, ,694,2471.0
141,Congo,45, ,5 , ,2,38, ,8.0,0.9, , 
142,Cayman Islands,45,+6,1 , ,6,38, ,685.0,15.0,479,7288.0
143,Macao,44, , , ,10,34,1,68.0, , , 
144,Sint Maarten,40,+3,6 , ,1,33,2,933.0,140.0,112,2612.0
145,Bermuda,39, ,2 , ,17,20, ,626.0,32.0,306,4913.0
146,Zambia,39, ,1 , ,7,31, ,2.0,0.05,619,34.0
147,Bahamas,33, ,6 ,+1,5,22,1,84.0,15.0, , 
148,Guyana,33,+2,5 ,+1,8,20,4,42.0,6.0,132,168.0
149,Guinea-Bissau,33,+15, , , ,33, ,17.0, , , 
150,Saint Martin,32, ,2 , ,7,23,6,828.0,52.0, , 
151,Eritrea,31, , , , ,31, ,9.0, , , 
152,Gabon,30,+6,1 , ,1,28, ,13.0,0.4, , 
153,Benin,26, ,1 , ,5,20, ,2.0,0.08, , 
154,Haiti,25,+1,1 , , ,24, ,2.0,0.09,257,23.0
155,Tanzania,24, ,1 , ,5,18, ,0.4,0.02, , 
156,Myanmar,22, ,1 , , ,21, ,0.4,0.02,1246,23.0
157,Libya,20,+1,1 , ,1,18, ,3.0,0.1,326,47.0
158,Syria,19, ,2 , ,3,14, ,1.0,0.1, , 
159,Antigua and Barbuda,19,+4,1 ,+1, ,18,1,194.0,10.0,40,408.0
160,Maldives,19, , , ,13,6, ,35.0, , , 
161,New Caledonia,18, , , ,1,17, ,63.0, ,2135,7478.0
162,Angola,17,+1,2 , ,2,13, ,0.5,0.06, , 
163,Equatorial Guinea,16, , , ,3,13, ,11.0, ,854,609.0
164,Namibia,16, , , ,3,13, ,6.0, ,362,142.0
165,Dominica,15, , , ,1,14, ,208.0, ,293,4070.0
166,Fiji,15,+1, , , ,15, ,17.0, , , 
167,Mongolia,15, , , ,4,11, ,5.0, , , 
168,Liberia,14, ,3 , ,3,8, ,3.0,0.6, , 
169,Sudan,14,+2,2 , ,2,10, ,0.3,0.05, , 
170,Laos,14,+2, , , ,14, ,2.0, ,765,105.0
171,Saint Lucia,14, , , ,1,13, ,76.0, , , 
172,Curaçao,13, ,1 , ,7,5, ,79.0,6.0, , 
173,Grenada,12, , , , ,12,2,107.0, ,45,400.0
174,Zimbabwe,11,+1,2 ,+1, ,9, ,0.7,0.1,371,25.0
175,Greenland,11, , , ,10,1, ,194.0, ,752,13246.0
176,Saint Kitts and Nevis,11,+1, , , ,11, ,207.0, ,183,3440.0
177,Seychelles,11, , , , ,11, ,112.0, , , 
178,Suriname,10, ,1 , , ,9, ,17.0,2.0, , 
179,Chad,10,+1, , ,2,8, ,0.6, , , 
180,Mozambique,10, , , ,1,9, ,0.3, ,424,14.0
181,Eswatini,10, , , ,4,6, ,9.0, , , 
182,MS Zaandam,9, ,2 , , ,7, , , , , 
183,Nepal,9, , , ,1,8, ,0.3, ,1890,65.0
184,Montserrat,9,+3, , , ,9,1,1803.0, ,36,7212.0
185,Malawi,8,+3,1 ,+1, ,7,1,0.4,0.05, , 
186,Turks and Caicos,8, ,1 , , ,7, ,207.0,26.0,61,1576.0
187,CAR,8, , , , ,8, ,2.0, , , 
188,St. Vincent Grenadines,8,+1, , ,1,7, ,72.0, ,56,505.0
189,Somalia,8,+1, , ,1,7, ,0.5, , , 
190,Belize,7, ,1 , , ,6,1,18.0,3.0,268,674.0
191,Cabo Verde,7, ,1 , ,1,5, ,13.0,2.0, , 
192,Vatican City,7, , , , ,7, ,8739.0, , , 
193,Botswana,6, ,1 , , ,5, ,3.0,0.4,1154,491.0
194,Mauritania,6, ,1 , ,2,3, ,1.0,0.2,67,14.0
195,Nicaragua,6, ,1 , , ,5, ,0.9,0.2, , 
196,St. Barth,6, , , ,1,5, ,607.0, , , 
197,Sierra Leone,6, , , , ,6, ,0.8, , , 
198,Bhutan,5, , , ,2,3, ,6.0, ,1166,1511.0
199,Gambia,4, ,1 , ,2,1, ,2.0,0.4, , 
200,Sao Tome and Principe,4, , , , ,4, ,18.0, ,19,87.0
201,Western Sahara,4, , , , ,4, ,7.0, , , 
202,Anguilla,3, , , , ,3, ,200.0, , , 
203,British Virgin Islands,3, , , , ,3, ,99.0, , , 
204,Burundi,3, , , , ,3, ,0.3, , , 
205,Caribbean Netherlands,2, , , , ,2, ,76.0, ,10,381.0
206,Falkland Islands,2, , , , ,2, ,575.0, , , 
207,Papua New Guinea,2, , , , ,2, ,0.2, ,72,8.0
208,South Sudan,2,+1, , , ,2, ,0.2, , , 
209,Saint Pierre Miquelon,1, , , , ,1, ,173.0, , , 
210,Timor-Leste,1, , , , ,1, ,0.8, , , 
211,China,81740, ,3331 , ,77167,1242,211,57.0,2.0, , 
212,Total:,1425716,+79680,81968,+7314,301828,1041920,47912,182.9,10.5, , 
