,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,World,1425716,+79680,81968,+7314,301828,1041920,47912,183.0,10.5, , 
1,USA,395612,+28608,12790 ,+1919,21674,361148,9169,1195.0,39.0,2065073,6239.0
2,Spain,141942,+5267,14045 ,+704,43208,84689,7069,3036.0,300.0,355000,7593.0
3,Italy,135586,+3039,17127 ,+604,24392,94067,3792,2243.0,283.0,755445,12495.0
4,France,109069,+11059,10328 ,+1417,19337,79404,7131,1671.0,158.0,224254,3436.0
5,Germany,107663,+4288,2016 ,+206,36081,69566,4895,1285.0,24.0,918460,10962.0
6,Iran,62589,+2089,3872 ,+133,27039,31678,3987,745.0,46.0,211136,2514.0
7,UK,55242,+3634,6159 ,+786,135,48948,1559,814.0,91.0,266694,3929.0
8,Turkey,34109,+3892,725 ,+76,1582,31802,1474,404.0,9.0,228868,2714.0
9,Switzerland,22253,+596,821 ,+56,8704,12728,391,2571.0,95.0,167429,19346.0
10,Belgium,22194,+1380,2035 ,+403,4157,16002,1260,1915.0,176.0,80512,6947.0
11,Netherlands,19580,+777,2101 ,+234,250,17229,1424,1143.0,123.0,86589,5053.0
12,Canada,17897,+1230,381 ,+58,4028,13488,426,474.0,10.0,346507,9181.0
13,Brazil,14034,+1851,686 ,+122,127,13221,296,66.0,3.0,54824,258.0
14,Austria,12639,+342,243 ,+23,4046,8350,243,1403.0,27.0,115235,12795.0
15,Portugal,12442,+712,345 ,+34,184,11913,271,1220.0,34.0,121256,11892.0
16,S. Korea,10331,+47,192 ,+6,6694,3445,55,202.0,4.0,477304,9310.0
17,Israel,9248,+344,65 ,+8,770,8413,149,1068.0,8.0,117339,13557.0
18,Sweden,7693,+487,591 ,+114,205,6897,640,762.0,59.0,54700,5416.0
19,Russia,7497,+1154,58 ,+11,494,6945,8,51.0,0.4,795000,5448.0
20,Norway,6086,+221,89 ,+13,32,5965,78,1123.0,16.0,113896,21009.0
21,Australia,5988,+93,49 ,+4,2547,3392,93,235.0,2.0,310700,12184.0
22,Ireland,5709,+345,210 ,+36,25,5474,165,1156.0,43.0,42484,8604.0
23,India,5311,+533,150 ,+14,421,4740, ,4.0,0.1,140293,102.0
24,Chile,5116,+301,43 ,+6,898,4175,337,268.0,2.0,57122,2988.0
25,Denmark,5071,+390,203 ,+16,1491,3377,127,875.0,35.0,58419,10086.0
26,Czechia,5017,+195,88 ,+10,172,4757,86,468.0,8.0,91247,8521.0
27,Poland,4848,+435,129 ,+22,191,4528,50,128.0,3.0,92215,2437.0
28,Romania,4417,+360,197 ,+21,460,3760,274,230.0,10.0,43578,2265.0
29,Pakistan,4035,+269,57 ,+4,429,3549,28,18.0,0.3,39183,177.0
30,Ecuador,3995,+248,220 ,+29,140,3635,156,226.0,12.0,14406,817.0
31,Malaysia,3963,+170,63 ,+1,1321,2579,92,122.0,2.0,55566,1717.0
32,Japan,3906, ,92 , ,592,3222,79,31.0,0.7,55311,437.0
33,Philippines,3764,+104,177 ,+14,84,3503,1,34.0,2.0,22958,210.0
34,Luxembourg,2970,+127,44 ,+3,500,2426,35,4745.0,70.0,25702,41059.0
35,Peru,2954,+393,107 ,+15,1301,1546,109,90.0,3.0,21555,654.0
36,Saudi Arabia,2795,+190,41 ,+3,615,2139,41,80.0,1.0, , 
37,Indonesia,2738,+247,221 ,+12,204,2313, ,10.0,0.8,14354,52.0
38,Serbia,2447,+247,61 ,+3,118,2268,109,280.0,7.0,9626,1102.0
39,Mexico,2439,+296,125 ,+31,633,1681,89,19.0,1.0,20475,159.0
