,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,USA,"501,821","+33,255","18,695 ","+2,013","27,239","455,887","10,916",1516.0,56.0,2536189.0,7662.0
1,Spain,"158,273","+5,051","16,081 ",+634,"55,668","86,524","7,371",3385.0,344.0,355000.0,7593.0
2,Italy,"147,577","+3,951","18,849 ",+570,"30,455","98,273","3,497",2441.0,312.0,906864.0,14999.0
3,France,"124,869","+7,120","13,197 ",+987,"24,932","86,740","7,004",1913.0,202.0,333807.0,5114.0
4,Germany,"122,171","+3,936","2,767 ",+160,"53,913","65,491","4,895",1458.0,33.0,1317887.0,15730.0
5,UK,"73,758","+8,681","8,958 ",+980,344,"64,456","1,559",1086.0,132.0,316836.0,4667.0
6,Iran,"68,192","+1,972","4,232 ",+122,"35,465","28,495","3,969",812.0,50.0,242568.0,2888.0
7,Turkey,"47,029","+4,747","1,006 ",+98,"2,423","43,600","1,667",558.0,12.0,307210.0,3643.0
8,Belgium,"26,667","+1,684","3,019 ",+496,"5,568","18,080","1,278",2301.0,260.0,84248.0,7269.0
9,Switzerland,"24,551",+500,"1,002 ",+54,"11,100","12,449",386,2837.0,116.0,178500.0,20625.0
10,Netherlands,"23,097","+1,335","2,511 ",+115,250,"20,336","1,424",1348.0,147.0,101534.0,5926.0
11,Canada,"22,148","+1,383",569 ,+60,"6,013","15,566",557,587.0,15.0,370315.0,9812.0
12,Brazil,"19,789","+1,644","1,068 ",+114,173,"18,548",296,93.0,5.0,62985.0,296.0
13,Portugal,"15,472","+1,516",435 ,+26,233,"14,804",226,1517.0,43.0,140863.0,13815.0
14,Austria,"13,555",+311,319 ,+24,"6,064","7,172",261,1505.0,35.0,134743.0,14961.0
15,Russia,"11,917","+1,786",94 ,+18,795,"11,028",8,82.0,0.6,1090000.0,7469.0
16,S. Korea,"10,450",+27,208 ,+4,"7,117","3,125",55,204.0,4.0,503051.0,9812.0
17,Israel,"10,408",+440,95 ,+9,"1,183","9,130",124,1202.0,11.0,117339.0,13557.0
18,Sweden,"9,685",+544,870 ,+77,381,"8,434",749,959.0,86.0,54700.0,5416.0
19,Ireland,"8,089","+1,515",287 ,+24,25,"7,777",194,1638.0,58.0,53000.0,10734.0
20,India,"7,598",+873,246 ,+19,774,"6,578", ,6.0,0.2,189111.0,137.0
21,Ecuador,"7,161","+2,196",297 ,+25,368,"6,496",171,406.0,17.0,21568.0,1222.0
