,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,USA,"468,566", ,"16,691 ", ,"25,928","425,947","10,011",1416.0,50.0,2353096.0,7109.0
1,Spain,"153,222", ,"15,447 ", ,"52,165","85,610","7,371",3277.0,330.0,355000.0,7593.0
2,Italy,"143,626", ,"18,279 ", ,"28,470","96,877","3,605",2375.0,302.0,853369.0,14114.0
3,Germany,"118,235", ,"2,607 ", ,"52,407","63,221","4,895",1411.0,31.0,1317887.0,15730.0
4,France,"117,749", ,"12,210 ", ,"23,206","82,333","7,066",1804.0,187.0,333807.0,5114.0
5,Iran,"66,220", ,"4,110 ", ,"32,309","29,801","3,918",788.0,49.0,231393.0,2755.0
6,UK,"65,077", ,"7,978 ", ,135,"56,964","1,559",959.0,118.0,298169.0,4392.0
7,Turkey,"42,282", ,908 , ,"2,142","39,232","1,552",501.0,11.0,276338.0,3277.0
8,Belgium,"24,983", ,"2,523  ", ,"5,164","17,296","1,285",2156.0,218.0,84248.0,7269.0
9,Switzerland,"24,051", ,948 , ,"10,600","12,503",386,2779.0,110.0,178500.0,20625.0
10,Netherlands,"21,762", ,"2,396 ", ,250,"19,116","1,424",1270.0,140.0,101534.0,5926.0
11,Canada,"20,765", ,509 , ,"5,311","14,945",518,550.0,13.0,370315.0,9812.0
12,Brazil,"18,145", ,954 , ,173,"17,018",296,85.0,4.0,62985.0,296.0
13,Portugal,"13,956", ,409 , ,205,"13,342",241,1369.0,40.0,140368.0,13766.0
14,Austria,"13,244", ,295 , ,"5,240","7,709",266,1471.0,33.0,126287.0,14022.0
15,S. Korea,"10,423", ,204 , ,"6,973","3,246",55,203.0,4.0,477304.0,9310.0
16,Russia,"10,131", ,76 , ,698,"9,357",8,69.0,0.5,1004719.0,6885.0
17,Israel,"9,968", ,86 , ,"1,011","8,871",166,1152.0,10.0,117339.0,13557.0
18,Sweden,"9,141", ,793 , ,205,"8,143",719,905.0,79.0,54700.0,5416.0
19,India,"6,725", ,226 , ,620,"5,879", ,5.0,0.2,177584.0,129.0
20,Ireland,"6,574", ,263 , ,25,"6,286",165,1331.0,53.0,53000.0,10734.0
21,Norway,"6,219", ,108 , ,32,"6,079",78,1147.0,20.0,121034.0,22326.0
22,Australia,"6,152", ,51 , ,"2,987","3,114",81,241.0,2.0,330134.0,12946.0
23,Chile,"5,972", ,57 , ,"1,274","4,641",360,312.0,3.0,68353.0,3576.0
24,Denmark,"5,635", ,237 , ,"1,736","3,662",120,973.0,41.0,64002.0,11050.0
25,Poland,"5,575", ,174 , ,284,"5,117",160,147.0,5.0,107597.0,2843.0
26,Czechia,"5,569", ,112 , ,301,"5,156",96,520.0,10.0,106845.0,9977.0
27,Peru,"5,256", ,138 , ,"1,438","3,680",124,159.0,4.0,48465.0,1470.0
28,Romania,"5,202", ,248 , ,647,"4,307",178,270.0,13.0,51802.0,2693.0
29,Ecuador,"4,965", ,272 , ,339,"4,354",139,281.0,15.0,19102.0,1083.0
30,Japan,"4,768", ,99 , ,685,"3,984",109,38.0,0.8,61498.0,486.0
31,Pakistan,"4,489", ,65 , ,572,"3,852",31,20.0,0.3,44896.0,203.0
32,Malaysia,"4,228", ,67  , ,"1,608","2,553",72,131.0,2.0,69675.0,2153.0
33,Philippines,"4,076", ,203 , ,124,"3,749",1,37.0,2.0,24500.0,224.0
34,Mexico,"3,441",+260,194 ,+20,633,"2,614",89,27.0,2.0,25410.0,197.0
35,Indonesia,"3,293", ,280 , ,252,"2,761", ,12.0,1.0,14354.0,52.0
36,Saudi Arabia,"3,287", ,44 , ,666,"2,577",41,94.0,1.0,115585.0,3320.0
37,Luxembourg,"3,115", ,52 , ,500,"2,563",30,4976.0,83.0,27521.0,43965.0
38,UAE,"2,990", ,14 , ,268,"2,708",1,302.0,1.0,593095.0,59967.0
39,Serbia,"2,867", ,66 , ,118,"2,683",127,328.0,8.0,12347.0,1413.0
40,Panama,"2,752", ,66  , ,16,"2,670",107,638.0,15.0,11776.0,2729.0
41,Finland,"2,605", ,42 , ,300,"2,263",82,470.0,8.0,39000.0,7039.0
42,Thailand,"2,423", ,32 , ,940,"1,451",61,35.0,0.5,71860.0,1030.0
43,Qatar,"2,376", ,6 , ,206,"2,164",37,825.0,2.0,43144.0,14975.0
44,Dominican Republic,"2,349", ,118 , ,80,"2,151",147,217.0,11.0,7151.0,659.0
45,Colombia,"2,223", ,69 , ,174,"1,980",85,44.0,1.0,34910.0,686.0
46,Greece,"1,955", ,87 , ,269,"1,599",79,188.0,8.0,33634.0,3227.0
47,South Africa,"1,934", ,18 , ,95,"1,821",7,33.0,0.3,68874.0,1161.0
48,Singapore,"1,910", ,7  , ,460,"1,443",29,326.0,1.0,65000.0,11110.0
49,Argentina,"1,894", ,79 , ,365,"1,450",96,42.0,2.0,14850.0,329.0
50,Ukraine,"1,892", ,57 , ,45,"1,790",33,43.0,1.0,20608.0,471.0
51,Egypt,"1,699", ,118 , ,348,"1,233", ,17.0,1.0,25000.0,244.0
52,Algeria,"1,666", ,235 , ,347,"1,084",46,38.0,5.0,3359.0,77.0
53,Iceland,"1,648", ,6 , ,688,954,11,4829.0,18.0,32663.0,95718.0
54,Belarus,"1,486", ,16 , ,139,"1,331",55,157.0,2.0,49000.0,5186.0
55,Croatia,"1,407", ,20 , ,219,"1,168",34,343.0,5.0,13680.0,3332.0
56,Morocco,"1,374", ,97 , ,109,"1,168",1,37.0,3.0,6116.0,166.0
57,Moldova,"1,289", ,29 , ,50,"1,210",80,320.0,7.0,5108.0,1266.0
58,New Zealand,"1,239", ,1 , ,317,921,4,257.0,0.2,51165.0,10610.0
59,Iraq,"1,232", ,69 , ,496,667, ,31.0,2.0,30466.0,757.0
60,Estonia,"1,207", ,24 , ,83,"1,100",9,910.0,18.0,26416.0,19914.0
61,Slovenia,"1,124", ,43 , ,128,953,34,541.0,21.0,31813.0,15303.0
62,Hungary,980, ,66 , ,96,818,17,101.0,7.0,27826.0,2880.0
63,Hong Kong,974, ,4 , ,293,677,14,130.0,0.5,96709.0,12900.0
64,Lithuania,955, ,16 , ,8,931,21,351.0,6.0,32809.0,12052.0
65,Azerbaijan,926, ,9 , ,101,816,27,91.0,0.9,57371.0,5658.0
66,Armenia,921, ,10 , ,138,773,30,311.0,3.0,5823.0,1965.0
67,Kuwait,910, ,1 , ,111,798,22,213.0,0.2, , 
68,Bahrain,887, ,5 , ,519,363,3,521.0,3.0,55096.0,32379.0
69,Bosnia and Herzegovina,858, ,35 , ,101,722,4,262.0,11.0,6911.0,2106.0
70,Cameroon,803, ,12 , ,61,730, ,30.0,0.5, , 
71,Kazakhstan,781, ,8 , ,60,713,21,42.0,0.4,59371.0,3162.0
72,Diamond Princess,712, ,11 , ,619,82,10, , , , 
73,Slovakia,701, ,2 , ,23,676,5,128.0,0.4,21371.0,3914.0
74,North Macedonia,663, ,30 , ,37,596,15,318.0,14.0,6571.0,3154.0
75,Tunisia,643, ,25 , ,25,593,78,54.0,2.0,9570.0,810.0
76,Bulgaria,618, ,24 , ,48,546,32,89.0,3.0,15899.0,2288.0
77,Latvia,589, ,3 , ,16,570,3,312.0,2.0,25458.0,13497.0
78,Andorra,583, ,25 , ,58,500,17,7545.0,324.0,1673.0,21653.0
79,Lebanon,582, ,19 , ,67,496,29,85.0,3.0,12524.0,1835.0
80,Uzbekistan,582, ,3 , ,38,541,8,17.0,0.09,70000.0,2091.0
81,Cyprus,564, ,10 , ,53,501,13,467.0,8.0,14273.0,11822.0
82,Costa Rica,539, ,3 , ,30,506,13,106.0,0.6,6298.0,1236.0
83,Cuba,515, ,15 , ,28,472,15,45.0,1.0,9410.0,831.0
84,Afghanistan,484, ,15 , ,32,437, ,12.0,0.4, , 
85,Uruguay,473,+17,7 , ,206,260,13,136.0,2.0,6856.0,1974.0
86,Oman,457, ,3 , ,109,345,3,89.0,0.6, , 
87,Ivory Coast,444, ,3 , ,52,389, ,17.0,0.1, , 
88,Burkina Faso,443, ,24 , ,146,273, ,21.0,1.0, , 
89,Niger,410, ,11 , ,40,359, ,17.0,0.5,4251.0,176.0
90,Albania,409, ,23 , ,165,221,7,142.0,8.0,3223.0,1120.0
91,Taiwan,380, ,5  , ,80,295, ,16.0,0.2,42315.0,1777.0
92,Ghana,378, ,6 , ,3,369,2,12.0,0.2,12046.0,388.0
93,Jordan,372, ,7 , ,161,204,5,36.0,0.7,17000.0,1666.0
94,Réunion,362, , , ,40,322,4,404.0, , , 
95,Channel Islands,361, ,8 , ,40,313, ,2076.0,46.0,1157.0,6655.0
96,Honduras,343, ,23 , ,6,314,10,35.0,2.0, , 
97,Malta,337, ,2 , ,16,319,4,763.0,5.0,13732.0,31100.0
98,San Marino,333, ,34 , ,49,250,14,9814.0,1002.0,846.0,24933.0
99,Bangladesh,330, ,21 , ,33,276,1,2.0,0.1,6175.0,37.0
100,Mauritius,314, ,7 , ,23,284,3,247.0,6.0,6730.0,5292.0
101,Nigeria,288, ,7 , ,51,230,2,1.0,0.03,5000.0,24.0
102,Kyrgyzstan,280, ,4 , ,35,241,5,43.0,0.6,9618.0,1474.0
103,Bolivia,268,+4,19 ,+1,2,247,3,23.0,2.0,591.0,51.0
104,Palestine,263, ,1 , ,44,218, ,52.0,0.2,16068.0,3150.0
105,Vietnam,255, , , ,128,127,8,3.0, ,114241.0,1174.0
106,Montenegro,252, ,2 , ,4,246,7,401.0,3.0,2329.0,3708.0
107,Senegal,250, ,2 , ,123,125,1,15.0,0.1, , 
108,Georgia,218, ,3 , ,51,164,6,55.0,0.8,3271.0,820.0
109,Guinea,194, , , ,11,183, ,15.0, , , 
110,Sri Lanka,190, ,7 , ,49,134,5,9.0,0.3,3248.0,152.0
111,Isle of Man,190, ,1 , ,92,97,12,2234.0,12.0,1879.0,22097.0
112,Kenya,184, ,7 , ,12,165,2,3.0,0.1,5278.0,98.0
113,Mayotte,184, ,2 , ,26,156,4,674.0,7.0,1100.0,4032.0
114,Faeroe Islands,184, , , ,136,48, ,3766.0, ,5299.0,108446.0
115,DRC,180, ,18 , ,9,153, ,2.0,0.2, , 
116,Venezuela,171, ,9 , ,84,78,6,6.0,0.3,139282.0,4898.0
117,Martinique,154, ,6 , ,50,98,19,410.0,16.0, , 
118,Guadeloupe,143, ,8 , ,67,68,13,357.0,20.0, , 
119,Djibouti,140, ,1 , ,28,111, ,142.0,1.0,3399.0,3440.0
120,Brunei ,135, ,1 , ,92,42,3,309.0,2.0,8985.0,20538.0
